trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
20141214-61001,6:55:00,6:55:00,41321,0, , , ,0,1
20141214-61001, , ,40824,1, , , ,4.942376004,0
20141214-61001,7:11:00,7:11:00,40781,2, , , ,10.43816623,1
20141214-61001,7:24:00,7:24:00,40785,3, , , ,16.73867106,1
20141214-61001, , ,40787,4, , , ,17.33966776,0
20141214-61001,7:33:00,7:33:00,40789,5, , , ,21.10650634,1
20141214-61001, , ,40793,7, , , ,22.48433448,0
20141214-61001, , ,40795,8, , , ,23.43066442,0
20141214-61001, , ,40797,9, , , ,23.96255584,0
20141214-61001, , ,40163,10, , , ,28.39101335,0
20141214-61001, , ,40165,11, , , ,28.6266275,0
20141214-61001, , ,40167,12, , , ,28.89953952,0
20141214-61001, , ,40154,13, , , ,29.55221723,0
20141214-61001, , ,40152,14, , , ,30.11304978,0
20141214-61001, , ,40150,15, , , ,31.08926572,0
20141214-61001,7:55:00,7:55:00,40149,16, , , ,31.48987785,1
20141214-61001, , ,40151,17, , , ,32.3604886,0
20141214-61001, , ,40153,18, , , ,32.7860944,0
20141214-61001, , ,40155,19, , , ,33.06689599,0
20141214-61001,8:00:00,8:00:00,40162,20, , , ,34.03798368,1
20141214-61001,8:05:00,8:05:00,40113,21, , , ,35.5289999,1
20141214-61002,8:20:00,8:20:00,40113,0, , , ,0,1
20141214-61002, , ,40169,1, , , ,2.175162953,0
20141214-61002,8:25:00,8:25:00,40162,2, , , ,2.43078313,1
20141214-61002, , ,40156,3, , , ,3.568848398,0
20141214-61002, , ,40154,4, , , ,3.733625209,0
20141214-61002, , ,40152,5, , , ,4.294457759,0
20141214-61002, , ,40150,6, , , ,5.270673702,0
20141214-61002,8:35:00,8:35:00,40149,7, , , ,5.671285835,1
20141214-61002, , ,40151,8, , , ,6.541896582,0
20141214-61002, , ,40153,9, , , ,6.96750238,0
20141214-61002, , ,40128,10, , , ,7.213362015,0
20141214-61002, , ,40166,11, , , ,8.024720138,0
20141214-61002, , ,40160,12, , , ,8.212515073,0
20141214-61002, , ,40798,13, , , ,12.71777362,0
20141214-61002, , ,40796,14, , , ,13.2167554,0
20141214-61002, , ,40794,15, , , ,14.10817746,0
20141214-61002,8:57:00,8:57:00,40790,17, , , ,15.57800789,1
20141214-61002, , ,40788,18, , , ,19.29817361,0
20141214-61002,9:06:00,9:06:00,40786,19, , , ,19.89271745,1
20141214-61002,9:19:00,9:19:00,40782,20, , , ,26.16709477,1
20141214-61002,9:21:00,9:21:00,40799,21, , , ,26.37963511,1
20141214-61002, , ,40823,22, , , ,31.88822354,0
20141214-61002,9:35:00,9:35:00,41321,23, , , ,36.79563029,1
20141214-61003,9:45:00,9:45:00,41321,0, , , ,0,1
20141214-61003, , ,40824,1, , , ,4.942376004,0
20141214-61003,10:00:00,10:00:00,40799,2, , , ,10.41608813,1
20141214-61003,10:01:00,10:01:00,40781,3, , , ,10.604864,1
20141214-61003,10:14:00,10:14:00,40785,4, , , ,16.90536883,1
20141214-61003, , ,40787,5, , , ,17.50636553,0
20141214-61003,10:23:00,10:23:00,40789,6, , , ,21.27320411,1
20141214-61003, , ,40793,8, , , ,22.65103225,0
20141214-61003, , ,40795,9, , , ,23.59736219,0
20141214-61003, , ,40797,10, , , ,24.12925361,0
20141214-61003, , ,40163,11, , , ,28.55771112,0
20141214-61003, , ,40165,12, , , ,28.79332527,0
20141214-61003, , ,40167,13, , , ,29.06623729,0
20141214-61003, , ,40154,14, , , ,29.718915,0
20141214-61003, , ,40152,15, , , ,30.27974755,0
20141214-61003, , ,40150,16, , , ,31.25596349,0
20141214-61003,10:45:00,10:45:00,40149,17, , , ,31.65657562,1
20141214-61003, , ,40151,18, , , ,32.52718637,0
20141214-61003, , ,40153,19, , , ,32.95279217,0
20141214-61003, , ,40155,20, , , ,33.23359376,0
20141214-61003,10:50:00,10:50:00,40162,21, , , ,34.20468145,1
20141214-61003,10:55:00,10:55:00,40113,22, , , ,35.69569767,1
20141214-61004,11:45:00,11:45:00,40113,0, , , ,0,1
20141214-61004, , ,40169,1, , , ,2.175162953,0
20141214-61004,11:50:00,11:50:00,40162,2, , , ,2.43078313,1
20141214-61004, , ,40156,3, , , ,3.568848398,0
20141214-61004, , ,40154,4, , , ,3.733625209,0
20141214-61004, , ,40152,5, , , ,4.294457759,0
